timestamp,M-6,M-1,M-2,S-2,P-10,T-4,T-5,F-7,M-3,M-4,M-5,P-15,C-1,C-2,T-12,T-13,F-4,F-5,D-14,T-9,P-14,T-8,P-11,D-15,D-16,M-7,F-8,label
10,-1,0.792865891,-1.096766538,-1,0.991811379,0,-1,-0.785714286,1.000046147,1,0.565331017,0.997042192,-1,-1,-0.749272094,-0.992140579,-0.977816291,-0.782307318,-1,-0.333328822,0.999611111,-1,0.942860775,-1,0.99498857,-1.001156633,-1,
11,-1,0.791841349,-1.091228884,-1,0.992658478,0,-1,0.964285714,1.000046147,1,0.56641514,0.997738147,-0.998439938,-1,-0.747631741,-0.991354637,-0.918967841,-0.77736146,-1,-0.333328822,0.999481481,-1,0.941017574,-1,-1,-1.001156633,-0.782608696,
12,-1,0.790769702,-1.085775614,-1,0.991811379,-1,-1,0.714285714,1.000046147,1,0.334326515,0.980513267,-0.996879875,-1,-0.745991388,-0.990568695,-0.884767957,-0.77436397,-1,-0.333328822,0.999555556,-1,0.942987892,0.948172143,-1,-1.001156633,-0.695652174,
13,-1,0.789733384,-1.08034344,-1,0.994635042,-1,-1,0.964285714,1.000046147,1,-1.225860299,0.980339278,-0.99375975,-1,-0.744351035,-0.989782753,-0.851492394,-0.772115853,-1,-0.333328822,0.999555556,-1,0.976737535,0.947246645,0.99498857,-1.001156633,-1,
14,-1,0.788638184,-1.074784691,-1,0.992093746,-1,-1,-0.964285714,1.000046147,1,-0.44916465,0.980165289,-1,-1,-0.742710683,-0.98899681,-0.832235702,-0.769193301,-1,-0.333328822,0.999481481,-1,0.919471192,-1,-1,-1.001156633,-1,
15,-1,0.788638184,-1.074784691,-1,0.994070309,-1,-1,-0.821428571,1.000046147,1,0.714046222,0.979295346,-0.998439938,-1,-0.74107033,-0.988210868,-0.830695167,-0.768593803,-1,-0.333328822,0.999611111,-1,0.921123717,-1,-1,-1.001156633,-0.782608696,
16,-1,0.787613642,-1.069331421,-1,0.992376112,-1,-1,-0.964285714,1.000046147,1,0.522561978,0.978947368,-0.996879875,-1,-0.739429977,-0.987424926,-0.830078952,-0.768069242,-1,-0.333328822,0.999444444,-1,0.923666063,0.94539565,0.99498857,-1.001156633,-1,
17,-1,0.786483113,-1.063878151,-1,0.993787943,-1,-1,-0.642857143,1.000046147,1,0.566587451,0.978947368,-0.99375975,-1,-0.737789625,-0.986638984,-0.829231658,-0.767544681,-1,-0.333328822,0.999555556,-1,0.922585566,0.94539565,-1,-1.001156633,-0.782608696,
18,-1,0.786483113,-1.063878151,-1,0.995199774,-1,-1,0.964285714,1.000046147,1,0.565313068,0.979121357,-1,-1,-0.736149272,-0.985853042,-0.828692471,-0.766945183,-1,-0.333328822,0.999481481,-1,0.922267773,0.94539565,-1,-1.001156633,-0.913043478,
19,-1,0.785352584,-1.058361593,-1,0.99548214,-1,-1,0.678571429,1.000046147,1,0.565334607,0.978425402,-0.998439938,-1,-0.734508919,-0.9850671,-0.808049297,-0.765371501,-1,-0.333328822,0.999537037,-1,0.922204214,-1,0.957534728,-1.001156633,-1,
20,-1,0.784116068,-1.052897775,-1,0.993787943,-1,-1,0.964285714,1.000046147,1,0.565298708,0.977903436,-0.996879875,-1,-0.732868567,-0.984281158,-0.806970922,-0.765071752,-1,-0.333328822,0.999592593,-1,0.756506817,0.944470153,0.996043608,-1.001156633,-0.782608696,
21,-1,0.784116068,-1.052897775,-1,0.994352675,-1,-1,-0.964285714,1.000046147,1,0.565302298,0.976859504,-0.99375975,-1,-0.731228214,-0.983495216,-0.805430387,-0.764547192,-1,0.333337845,0.99962963,-1,0.762799123,0.943544655,0.996043608,-1.001156633,-0.913043478,
22,-1,0.782926657,-1.047444505,-1,0.992940844,-1,-1,-0.428571429,1.000046147,1,0.566411551,0.97738147,-1,-1,-0.729587861,-0.982709273,-0.801424995,-0.762598823,-1,-0.333328822,0.999555556,-1,0.761655067,0.942619158,0.996043608,-1.001156633,-0.826086957,
23,-1,0.782926657,-1.047444505,-1,0.994352675,-1,-1,0.107142857,1.000046147,1,0.638218591,0.965898217,-0.996879875,-1,-0.727947509,-0.981923331,-0.985133834,-0.771141669,-1,-0.333328822,0.999407407,-1,0.754600057,0.939842665,-1,-1.001156633,-1,
24,-1,0.781701917,-1.041991235,-1,0.992658478,-1,-1,-0.928571429,1.000046147,1,0.63303131,0.965550239,-0.995319813,-1,-0.726307156,-0.981137389,-0.983670325,-0.770542171,-1,-0.333328822,0.999481481,-1,0.75962119,0.942619158,0.996043608,-1.001156633,-1,
25,-1,0.780547836,-1.036537965,-1,0.994070309,-1,-1,-0.928571429,1.000046147,1,0.56622129,0.974945629,-0.995319813,-1,-0.724666803,-0.980351447,-0.979433853,-0.768518865,-1,0.333337845,0.999425926,-1,0.76152795,0.946321148,0.953050818,-1.001156633,-0.826086957,
26,-1,0.77927599,-1.031116338,-1,0.992940844,-1,-1,-0.892857143,1.000046147,1,0.566242829,0.974075685,-0.995319813,-1,-0.723026451,-0.979565505,-0.978894666,-0.768144179,-1,-0.333328822,0.999407407,-1,0.755616996,0.959278112,0.972217338,-1.001156633,-1,
27,-1,0.77927599,-1.031116338,-1,0.992376112,-1,-1,-0.785714286,1.000046147,1,0.566242829,0.974075685,-0.99375975,-1,-0.721386098,-0.978779563,-0.978201425,-0.767919368,-1,-0.333328822,0.999574074,-1,0.757587314,0.962054604,0.975646211,-1.001156633,-1,
28,-1,0.777898158,-1.025663068,-1,0.992940844,-1,-1,0.964285714,1.000046147,1,-1.225860299,0.973553719,-0.99375975,-1,-0.719745745,-0.977993621,-0.977508184,-0.767394807,-1,-0.333328822,0.9995,-1,0.914450059,0.963905599,0.973272376,-1.001156633,-0.782608696,
29,-1,0.776590984,-1.020220346,-1,0.994352675,-1,-1,-0.821428571,1.000046147,1,-0.736299477,0.974075685,-0.99375975,-1,-0.718105393,-0.977207679,-0.976968997,-0.766945183,-1,-0.333328822,0.999481481,-1,0.917246639,0.974086071,0.986108669,-1.001156633,-1,
30,-1,0.776590984,-1.020220346,-1,0.992376112,-1,-1,-0.857142857,1.000046147,1,0.668527387,0.974075685,-0.990639626,-1,-0.71646504,-0.976421737,-0.975505488,-0.766345685,-1,0.333337845,0.999425926,-1,0.920933041,0.984266543,0.979866362,-1.001156633,-1,
31,-1,0.775319139,-1.014777624,-1,0.993223211,0,-1,-0.785714286,1.000046147,1,0.632187704,0.973553719,-1,-1,-0.714824687,-0.975635794,-0.974966301,-0.765821125,-1,0.333337845,0.999444444,-1,0.919979661,1.002776492,0.971953578,-1.001156633,-1,
32,-1,0.773917754,-1.009334901,-1,0.993505577,0,-1,-0.785714286,1.000046147,1,0.566321805,0.973205742,-0.996879875,-1,-0.713184335,-0.974849852,-0.97427306,-0.765596313,-1,-0.333328822,0.9995,-1,0.921314393,1.00740398,0.983910673,-1.001156633,-0.782608696,
33,-1,0.773917754,-1.009334901,-1,0.993787943,0,-1,-0.5,1.000046147,1,0.56526999,0.972683776,-0.99375975,-1,-0.711543982,-0.97406391,-0.968881186,-0.763872757,-1,-0.333328822,0.99937037,-1,0.938220993,1.012031467,0.983910673,-1.001156633,-0.956521739,
34,-1,0.772504593,-1.003892179,-1,0.991246647,0,-1,-0.964285714,1.000046147,1,0.565295119,0.971987821,-1,-1,-0.709903629,-0.973277968,-0.964182553,-0.761924388,-1,-0.333328822,0.999518519,-1,0.922331331,1.012956964,0.983910673,-1.001156633,-1,
35,-1,0.771091432,-0.998449457,-1,0.991811379,0,-1,-0.928571429,1.000046147,1,0.565252041,0.955806873,-0.996879875,-1,-0.708263277,-0.972492026,-0.963643366,-0.761474765,-1,-0.333328822,0.999481481,-1,0.922204214,1.012031467,-1,-1.001156633,-0.782608696,
36,-1,0.771091432,-0.998449457,-1,0.993505577,0,-1,-0.928571429,1.000046147,1,0.566246419,0.955980861,-0.99375975,-1,-0.706622924,-0.971706084,-0.960254188,-0.759451459,-1,-0.333328822,0.9995,-1,0.923157594,1.011105969,0.983910673,-1.001156633,-1,
37,-1,0.769666494,-0.993006735,-1,0.994070309,0,-1,-0.928571429,1.000046147,1,0.566242829,0.970943889,-1,-1,-0.704982571,-0.970920142,-0.959175814,-0.758402338,-1,-0.333328822,0.999518519,-1,0.939428608,1.013882462,-1,-1.001156633,-0.956521739,
38,-1,0.769666494,-0.993006735,-1,0.992093746,0,-1,-0.928571429,1.000046147,1,-1.000057437,0.970595911,-0.998439938,-1,-0.703342219,-0.9701342,-0.958020412,-0.758252464,-1,0.333337845,0.999462963,-1,0.938284552,1.016658954,-1,-1.001156633,-0.782608696,
39,-1,0.766698855,-0.98212129,-1,0.993787943,0,-1,-0.928571429,1.000046147,1,-0.95590991,0.970247934,-0.996879875,-1,-0.701701866,-0.969348258,-0.957481225,-0.758102589,-1,0.333337845,0.99962963,-1,0.95201322,1.017584452,-0.586952699,-1.001156633,-1,
40,-1,0.765156154,-0.976678568,-1,0.990964281,0,-1,-0.964285714,1.000046147,1,0.448949262,0.970247934,-0.995319813,-1,-0.700061513,-0.968562315,-0.916811092,-0.634905766,-1,0.333337845,0.9995,-1,0.95766994,1.016658954,0.983910673,-1.001156633,-0.913043478,
41,-1,0.763589901,-0.971256942,-1,0.993505577,0,-1,-0.928571429,1.000046147,1,0.695375602,0.969899957,-0.989079563,-1,-0.698421161,-0.967776373,-0.85896399,-0.39315823,-1,0.333337845,0.999574074,-1,0.95436489,1.015733457,0.989801301,-1.001156633,-0.869565217,
42,-1,0.762035423,-0.965919699,-1,0.992093746,0,-1,-0.928571429,1.000046147,1,0.566328985,0.96937799,-0.979719189,-1,-0.696780808,-0.966990431,-0.795570961,-0.054142156,-1,0.333337845,0.999518519,-1,0.956208091,1.014807959,0.947863548,-1.001156633,-1,
43,-1,0.999964671,-0.748738206,-1,0.992940844,0,-1,0.25,1.000046147,1,0.565223322,0.968508047,-0.973478939,-1,-0.327428064,-0.790022465,-0.727787406,0.245831616,-1,0.333337845,0.999425926,-1,0.963898688,1.013882462,0.966678389,-1.001156633,-0.956521739,
44,-1,0.999964671,-0.748738206,-1,0.993787943,0,-1,-0.964285714,1.000046147,1,0.565252041,0.968508047,-0.968798752,-1,-0.325787711,-0.789236523,-0.673637589,0.910599873,-1,-0.333328822,0.999425926,-1,0.965741888,1.012956964,0.969491823,-1.001156633,-0.782608696,
45,-1,0.999964671,-0.748738206,-1,0.994635042,0,-1,-0.964285714,1.000046147,1,0.565208963,0.96937799,-0.965678627,-1,-0.324147358,-0.788450581,-0.604852686,1.167110045,-1,0.333337845,0.99937037,-1,0.96942829,1.012031467,0.996219448,-1.001156633,-1,
46,-1,0.999964671,-0.748738206,-1,0.993787943,0,-1,-0.785714286,1.000046147,1,0.566242829,0.969725968,-0.962558502,-1,-0.322507006,-0.787664638,-0.548469093,1.714076961,-1,0.333337845,0.9995,-1,0.964979185,1.011105969,0.996219448,-1.001156633,-0.956521739,
47,-1,0.999964671,-0.748738206,-1,0.994352675,0,-1,0.964285714,1.000046147,1,-0.735793313,0.968334058,-1,-1,-0.320866653,-0.786878696,-0.48946659,2.007681067,-1,0.333337845,0.99937037,-1,0.967203737,1.010180472,0.996219448,-1.001156633,-1,
48,-1,0.999964671,-0.748738206,-1,0.993223211,0,-1,0.964285714,1.000046147,1,-1.045924485,0.967986081,-0.996879875,-1,-0.3192263,-0.786092754,-0.440246486,2.400127393,-1,-0.333328822,0.999555556,-1,0.965360536,1.009254975,-1,-1.001156633,-1,
49,-1,0.999964671,-0.748738206,-1,0.993223211,0,-1,0.642857143,1.000046147,1,0.358888019,0.964680296,-0.996879875,-1,-0.317585948,-0.785306812,-0.380396688,2.733073551,-1,0.333337845,0.999537037,-1,0.965360536,1.008329477,-1,-1.001156633,-0.695652174,
50,-1,0.999964671,-0.748738206,-1,0.993787943,0,-1,0.928571429,1.000046147,1,0.714046222,0.963636364,-0.996879875,-1,-0.315945595,-0.78452087,-0.3231658,3.004496234,-1,0.333337845,0.999462963,-1,0.966822385,1.006478482,0.996219448,-1.001156633,-0.782608696,
51,-1,0.999964671,-0.748738206,-1,0.994352675,0,-1,-0.964285714,1.000046147,1,0.566321805,0.964332318,-1,-1,-0.314305242,-0.783734928,-0.264548431,3.379407246,-1,-0.333328822,0.99937037,-1,0.957860616,1.005552985,0.980393881,-1.001156633,-0.782608696,
52,-1,0.999964671,-0.748738206,-1,0.994070309,0,-1,-0.964285714,1.000046147,1,0.565176655,0.971639843,-0.996879875,-1,-0.31266489,-0.782948986,-0.208318891,3.774176627,-1,0.333337845,0.999425926,-1,0.958559761,1.004627487,0.983119395,-1.001156633,-1,
53,-1,0.999964671,-0.748738206,-1,0.992940844,0,-1,-0.964285714,1.000046147,1,0.565212553,0.969899957,-0.996879875,-1,-0.311024537,-0.782163044,-0.149393414,4.026790063,-1,0.333337845,0.999425926,-1,0.944767534,1.001850995,0.970722701,-1.001156633,-0.782608696,
54,-1,0.999964671,-0.748738206,-1,0.991811379,0,-1,-0.964285714,1.000046147,1,0.565147936,0.96015659,-0.996879875,-1,-0.309384184,-0.781377102,-0.139688042,4.090037094,-1,0.333337845,0.99937037,-1,0.941970954,1,0.978635484,-1.001156633,-0.782608696,
55,-1,0.999964671,-0.748738206,-1,0.993505577,-1,-1,-0.964285714,1.000046147,1,0.565147936,0.948499348,-1,-1,-0.307743832,-0.780591159,-0.134681302,4.093334332,-1,0.333337845,0.9995,-1,0.943496361,0.999074503,0.978635484,-1.001156633,-1,
56,-1,0.999964671,-0.748738206,-1,0.993223211,-1,-1,0.964285714,1.000046147,1,0.565147936,0.936320139,-0.996879875,-1,-0.306103479,-0.779870713,-0.132216445,4.094158642,-1,0.333337845,0.99937037,-1,0.942352306,0.998149005,0.978635484,-1.001156633,-0.739130435,
57,-1,0.999964671,-0.748738206,-1,0.993223211,0,-1,-0.964285714,1.000046147,1,0.565147936,0.934232275,-0.996879875,-1,-0.305283303,-0.779477741,-0.131600231,4.094683203,-1,0.333337845,0.999444444,-1,0.94216163,0.997223508,0.978635484,-1.001156633,-1,
58,-1,0.999964671,-0.748738206,-1,0.994635042,0,-1,-0.714285714,1.000046147,1,0.565147936,0.933188343,-0.996879875,-1,-0.30364295,-0.778691799,-0.127594839,4.097006257,-1,0.333337845,0.999481481,-1,0.935233737,0.99629801,-1,-1.001156633,-1,
59,-1,0.78890904,-1.098549135,-1,0.995199774,0,-1,-0.75,1.000046147,1,0.565147936,0.933884298,-1,-1,-0.302002597,-0.777905857,-0.127055652,4.097605755,-1,0.333337845,0.999462963,-1,0.937331172,0.995372513,-0.876120978,-1.001156633,-0.956521739,
60,-1,0.787860945,-1.093127508,-1,0.994352675,0,-1,-0.714285714,1.000046147,1,0.565147936,0.931448456,-0.996879875,-1,-0.300362245,-0.777119915,-0.125284036,4.098579939,-1,0.333337845,0.999518519,-1,0.763371151,0.994447015,0.978635484,-1.001156633,-1,
61,-1,0.786801074,-1.087600403,-1,0.994635042,0,-1,-0.785714286,1.000046147,1,0.565147936,0.931100478,-0.996879875,-1,-0.298721892,-0.776333973,-0.124051608,4.099254374,-1,0.333337845,0.999481481,-1,0.763116916,0.993521518,0.981624758,-1.001156633,-1,
62,-1,0.785776532,-1.082126037,-1,0.994635042,-1,-1,-0.75,1.000046147,1,0.565147936,0.93092649,-0.996879875,-1,-0.297081539,-0.775548031,-0.123512421,4.099703998,-1,0.333337845,0.999425926,-1,0.760066101,-1,0.953666256,-1.001156633,-0.739130435,
63,-1,0.784657779,-1.076672767,-1,0.994635042,-1,-1,-0.75,1.000046147,1,0.565147936,0.929882558,-1,-1,-0.295441187,-0.774762089,-0.064663971,4.101877178,-1,0.333337845,0.999388889,-1,0.762163536,-1,0.985053631,-1.001156633,-1,
64,-1,0.78352725,-1.071230045,-1,0.992093746,-1,-1,-0.75,1.000046147,1,0.565147936,0.92692475,-0.996879875,-1,-0.293800834,-0.773976147,-0.062892355,4.102476676,-1,0.333337845,0.999518519,-1,0.765595703,0.99259602,0.992614735,-1.001156633,-1,
65,-1,0.782384945,-1.065787322,-1,0.991246647,0,-1,-0.964285714,1.000046147,1,0.565147936,0.928142671,-0.995319813,-1,-0.292160481,-0.773190205,-0.057654535,4.103151111,-1,0.333337845,0.999518519,-1,0.766549083,0.991670523,0.992614735,-1.001156633,-0.956521739,
66,-1,0.781266192,-1.060239121,-1,0.993787943,0,-1,-0.964285714,1.000046147,1,0.565147936,0.95476294,-0.990639626,-1,-0.290520128,-0.772404262,-0.05156942,4.104724793,-1,0.333337845,0.999518519,-1,0.781421807,0.990745025,0.992614735,-1.001156633,-1,
67,-1,0.779982571,-1.054796399,-1,0.994635042,0,-1,-0.964285714,1.000046147,1,0.565147936,0.955806873,-0.989079563,-1,-0.288879776,-0.77161832,-0.050259965,4.105399228,-1,0.333337845,0.999444444,-1,0.936822703,0.989819528,-1,-1.001156633,-1,
68,-1,0.778746055,-1.049322033,-1,0.994635042,0,-1,-0.964285714,1.000046147,1,0.565147936,0.956676816,-0.987519501,-1,-0.287239423,-0.770832378,-0.044714038,4.106373412,-1,-0.333328822,0.9995,-1,0.784154829,0.988894031,-1,-1.001156633,-0.260869565,
69,-1,0.778746055,-1.049322033,-1,0.991529013,0,-1,-0.964285714,1.000046147,1,0.565147936,0.953023054,-0.973478939,-1,-0.28559907,-0.770046436,-0.037627576,4.109295965,-1,0.333337845,0.999388889,-1,0.935297296,0.987968533,0.995516089,-1.001156633,0.869565217,
70,-1,0.777568421,-1.043900407,-1,0.993505577,0,-1,0.964285714,1.000046147,1,0.565147936,0.953023054,-0.968798752,-1,-0.283958718,-0.769260494,-0.032081648,4.110420023,-1,0.333337845,0.999407407,-1,0.936187117,0.987043036,0.995516089,-1.001156633,0.782608696,
71,-1,0.776308352,-1.038457684,-1,0.994070309,-1,-1,0.678571429,1.000046147,1,0.565147936,0.961548499,-0.965678627,-1,-0.282318365,-0.768474552,-0.030078952,4.11214358,-1,0.333337845,0.999518519,-1,0.941462485,0.985192041,0.995516089,-1.001156633,0.695652174,
72,-1,0.775048283,-1.033004414,-1,0.994070309,-1,-1,0.964285714,1.000046147,1,0.565147936,0.961374511,-0.962558502,-1,-0.280678012,-0.76768861,-0.024070865,4.113717262,-1,0.333337845,0.999518519,-1,0.921060158,0.984266543,-1,-1.001156633,0.695652174,
73,-1,0.773623345,-1.027561692,-1,0.992093746,-1,-1,-0.964285714,1.000046147,1,0.565147936,0.962070465,-1,-1,-0.27903766,-0.766902668,-0.019834392,4.114391697,-1,0.333337845,0.999537037,-1,0.927733816,0.983341046,-1,-1.001156633,0.652173913,
74,-1,0.7723515,-1.022129518,-1,0.990964281,-1,-1,-0.821428571,1.000046147,1,0.565147936,0.970247934,-0.996879875,-1,-0.277397307,-0.766116726,-0.017061429,4.116040316,-1,0.333337845,0.999351852,-1,0.928687196,0.982415548,-0.921663443,-1.001156633,-1,
75,-1,0.770938339,-1.016686796,-1,0.992658478,-1,-1,-0.892857143,1.000046147,1,0.566411551,0.969725968,-0.996879875,-1,-0.275756954,-0.765330783,-0.012824957,4.116639814,-1,0.333337845,0.999481481,-1,0.928432962,0.981490051,0.995516089,-1.001156633,-1,
76,-1,0.769525178,-1.011254621,-1,0.994070309,-1,-1,-0.892857143,1.000046147,1,0.604890762,0.970421923,-0.996879875,-1,-0.274116602,-0.764544841,-0.011438475,4.117164375,-1,0.333337845,0.999555556,-1,0.929513459,0.980564553,-1,-1.001156633,-1,
77,-1,0.768123793,-1.005811899,-1,0.993787943,-1,-1,-0.892857143,1.000046147,1,0.633462088,0.970943889,-1,-1,-0.272476249,-0.763758899,-0.007202003,4.117613998,-1,0.333337845,0.9995,-1,0.928687196,0.979639056,-1,-1.001156633,-1,
78,-1,0.766698855,-1.000379725,-1,0.994635042,-1,-1,-0.892857143,1.000046147,1,0.582285706,0.970073945,-0.996879875,-1,-0.270835896,-0.762972957,-0.00535336,4.118363371,-1,0.333337845,0.9995,0.990196078,0.93319986,0.978713559,-0.975118692,-1.001156633,-1,
79,-1,0.765167931,-0.995010838,-1,0.994352675,-1,-1,-0.892857143,1.000046147,1,0.56622129,0.971465855,-0.996879875,-1,-0.269195544,-0.762187015,-0.005276334,4.118887931,-1,0.333337845,0.999444444,-1,0.926335526,0.977788061,0.995516089,-1.001156633,-1,
80,-1,0.765167931,-0.995010838,-1,0.993787943,-1,-1,-0.892857143,1.000046147,1,0.56641514,0.972683776,-0.996879875,-1,-0.267555191,-0.761401073,-0.000269594,4.119937053,-1,0.333337845,0.9995,-1,0.942797216,0.976862564,0.998505363,-1.001156633,-1,
81,-1,0.763731217,-0.98959976,-1,0.995199774,-1,-1,-0.892857143,1.000046147,1,0.56641514,0.972509787,-1,-1,-0.265914838,-0.760615131,0.005199307,4.122110233,-1,0.333337845,0.999462963,-1,0.941843836,0.975937066,0.960084403,-1.001156633,-1,
82,-1,0.762176739,-0.984146489,-1,0.991811379,-1,-1,-0.892857143,1.000046147,1,-0.330101305,0.972161809,-0.996879875,-1,-0.264274486,-0.759829189,0.011207395,4.122859605,-1,0.333337845,0.999592593,-1,0.944831093,0.975011569,0.996131528,-1.001156633,-1,
83,-1,0.760622262,-0.978724863,-1,0.993787943,-1,-1,-0.857142857,1.000046147,1,-1.225860299,0.972161809,-0.996879875,-1,-0.262634133,-0.759043246,0.016753322,4.123384166,-1,0.333337845,0.999518519,-1,0.942987892,0.975011569,0.996131528,-1.001156633,-1,
84,-1,0.759067785,-0.973292689,-1,0.994635042,-1,-1,-0.892857143,1.000046147,1,-0.022016326,0.972683776,-1,-1,-0.26099378,-0.758257304,0.018139804,4.123908726,-1,0.333337845,0.999444444,-1,0.940699781,0.974086071,0.996131528,-1.001156633,-1,
85,-1,0.757395544,-0.967965994,-1,0.992376112,-1,-1,-0.892857143,1.000046147,1,0.714046222,0.97337973,-0.996879875,-1,-0.259353428,-0.757471362,0.022299249,4.124882911,-1,0.333337845,0.999592593,-1,0.944386182,0.973160574,-1,-1.001156633,-1,
86,-1,1,-0.74871711,-1,0.992376112,-1,-1,-0.892857143,1.000046147,1,0.549162496,0.971639843,-0.996879875,-1,-0.257713075,-0.75668542,0.024224918,4.125107722,-1,0.333337845,0.999425926,-1,0.945148886,0.971309579,-1,-1.001156633,-1,
87,-1,1,-0.74871711,-1,0.991811379,-1,-1,-0.892857143,1.000046147,1,0.566540784,0.971987821,-0.996879875,-1,-0.256072722,-0.755899478,0.029231658,4.126156844,-1,0.333337845,0.999592593,-1,0.944131948,0.969458584,0.996131528,-1.001156633,-0.782608696,
88,-1,1,-0.74871711,-1,0.992940844,-1,-1,-0.892857143,1.000046147,1,0.565593073,0.972683776,-1,-1,-0.25443237,-0.755113536,0.034777585,4.126681404,-1,0.333337845,0.999444444,-1,0.943369244,0.967607589,0.996131528,-1.001156633,-1,
89,-1,1,-0.74871711,-1,0.993505577,-1,-1,-0.892857143,1.000046147,1,0.565424352,0.970943889,-0.996879875,-1,-0.252792017,-0.754327594,0.039014057,4.127655588,-1,0.333337845,0.999555556,-1,0.94495821,0.966682092,0.996131528,-1.001156633,-0.52173913,
90,-1,1,-0.74871711,-1,0.993787943,-1,-1,-0.892857143,1.000046147,1,0.565392044,0.969551979,-0.996879875,-1,-0.251151664,-0.753541652,0.040939727,4.1278804,-1,0.333337845,0.999407407,-1,0.943305685,0.965756594,-1,-1.001156633,-0.52173913,
91,-1,1,-0.74871711,-1,0.99548214,-1,-1,-0.892857143,1.000046147,1,0.56641514,0.969725968,-0.995319813,-1,-0.249511312,-0.75275571,0.041632967,4.128929522,-1,0.333337845,0.999555556,-1,0.956525884,0.964831097,-1,-1.001156633,-0.652173913,
92,-1,1,-0.74871711,-1,0.994070309,-1,-1,-0.892857143,1.000046147,1,-0.278059778,0.970943889,-0.992199688,-1,-0.247870959,-0.751969767,0.047255921,4.129454082,-1,0.333337845,0.999444444,-1,0.957097912,0.963905599,0.996131528,-1.001156633,-1,
93,-1,1,-0.74871711,-1,0.994917408,-1,-1,-0.892857143,1.000046147,1,-1.225860299,0.969204002,-0.992199688,-1,-0.246230606,-0.751183825,0.047872136,4.129978643,-1,0.333337845,0.999518519,-1,0.961547018,0.962980102,0.974591173,-1.001156633,-0.739130435,
94,-1,1,-0.74871711,-1,0.995199774,-1,-1,-0.892857143,1.000046147,1,-0.109658034,0.969551979,-0.990639626,-1,-0.244590254,-0.750397883,0.052878875,4.132751321,-1,0.333337845,0.999407407,-1,0.959767375,0.961129107,0.999472481,-1.001156633,-0.782608696,
